subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
-98.0,-32.0,9.0,-37.0,4.0,-16.0,-7.0,-53.0,3399.43
-93.0,48.0,10.0,10.0,-27.0,21.0,-48.0,6.0,3399.43
-73.0,112.0,11.0,32.0,18.0,45.0,15.0,41.0,3399.44
-2.0,-32.0,15.0,-2.0,-15.0,8.0,-18.0,5.0,3399.49
18.0,33.0,17.0,-29.0,23.0,-22.0,18.0,-58.0,3399.49
-68.0,-64.0,11.0,9.0,-13.0,35.0,-13.0,48.0,3399.5
-87.0,-112.0,10.0,-27.0,0.0,-18.0,-1.0,-60.0,3399.51
-67.0,-48.0,11.0,26.0,-7.0,14.0,-13.0,57.0,3399.51
80.0,0.0,5.0,-22.0,-24.0,-27.0,-27.0,-31.0,3399.52
80.0,0.0,5.0,-17.0,-53.0,-24.0,-19.0,-20.0,3399.52
98.0,32.0,6.0,16.0,-34.0,-3.0,-56.0,9.0,3399.53
94.0,-32.0,5.0,18.0,31.0,34.0,25.0,52.0,3399.53
-115.0,-48.0,8.0,9.0,-17.0,11.0,-18.0,15.0,3399.54
-125.0,48.0,8.0,3.0,19.0,10.0,17.0,7.0,3399.59
-93.0,48.0,10.0,-33.0,-9.0,-55.0,-28.0,-43.0,3399.6
-73.0,112.0,11.0,22.0,-27.0,19.0,-29.0,43.0,3399.6
-91.0,80.0,10.0,-31.0,18.0,-23.0,-3.0,-40.0,3399.61
-105.0,112.0,9.0,11.0,-48.0,9.0,-50.0,12.0,3399.61
94.0,-32.0,5.0,17.0,-5.0,17.0,-14.0,17.0,3399.62
94.0,-32.0,5.0,-17.0,-44.0,-37.0,-38.0,-19.0,3399.62
92.0,-64.0,5.0,-32.0,6.0,-37.0,-3.0,-50.0,3399.63
94.0,-32.0,5.0,-3.0,-32.0,8.0,-33.0,-6.0,3399.64
-98.0,-32.0,9.0,-25.0,-6.0,-24.0,-6.0,-46.0,3399.64
-65.0,-16.0,11.0,-21.0,-6.0,-25.0,-6.0,-26.0,3399.69
-68.0,-64.0,11.0,2.0,-20.0,6.0,-60.0,22.0,3399.7
-48.0,0.0,13.0,-40.0,-27.0,-29.0,-21.0,-33.0,3399.71
-11.0,81.0,31.0,59.0,-6.0,38.0,-12.0,39.0,3399.71
9.0,-110.0,32.0,-8.0,10.0,-15.0,7.0,-20.0,3399.72
-128.0,0.0,8.0,-54.0,-5.0,-31.0,7.0,-33.0,3399.72
-1.0,-16.0,15.0,-9.0,43.0,-20.0,48.0,3.0,3399.73
-96.0,1.0,26.0,-2.0,-28.0,3.0,-15.0,5.0,3399.8
-76.0,65.0,27.0,29.0,-11.0,10.0,-12.0,15.0,3399.8
-98.0,-32.0,9.0,-3.0,18.0,-12.0,20.0,-12.0,3399.81
-68.0,-64.0,11.0,-23.0,2.0,-24.0,-9.0,-20.0,3399.81
-43.0,81.0,29.0,-3.0,33.0,-14.0,27.0,-27.0,3399.82
-23.0,-111.0,30.0,9.0,45.0,-9.0,27.0,-18.0,3399.82
-107.0,81.0,25.0,-14.0,0.0,-45.0,-5.0,-28.0,3399.83
-87.0,-111.0,26.0,-24.0,4.0,-12.0,5.0,-41.0,3399.84
