subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
94.0,-32.0,5.0,6.0,-2.0,13.0,1.0,21.0,1988.36
94.0,-32.0,5.0,-3.0,-17.0,1.0,-10.0,5.0,1988.37
94.0,-32.0,5.0,-10.0,-9.0,-7.0,-8.0,-10.0,1988.37
94.0,-32.0,5.0,-6.0,7.0,-13.0,7.0,-13.0,1988.38
94.0,-32.0,5.0,10.0,11.0,4.0,7.0,9.0,1988.38
94.0,-32.0,5.0,8.0,-5.0,12.0,-6.0,19.0,1988.39
94.0,-32.0,5.0,-2.0,-14.0,-5.0,-16.0,-4.0,1988.4
94.0,-32.0,5.0,-10.0,2.0,-15.0,6.0,-16.0,1988.4
108.0,-64.0,6.0,0.0,15.0,-5.0,6.0,10.0,1988.43
30.0,-32.0,1.0,26.0,6.0,27.0,6.0,25.0,1988.43
100.0,64.0,6.0,-5.0,-2.0,-6.0,6.0,-13.0,1988.44
-119.0,-112.0,8.0,4.0,-1.0,6.0,-1.0,1.0,1988.44
-34.0,-30.0,45.0,0.0,9.0,3.0,14.0,1.0,1988.45
-99.0,-48.0,9.0,-5.0,-2.0,-9.0,-4.0,-5.0,1988.45
-98.0,-32.0,9.0,-6.0,-12.0,-3.0,1.0,1.0,1988.46
-66.0,-32.0,11.0,4.0,0.0,1.0,-15.0,1.0,1988.47
-46.0,32.0,13.0,30.0,-23.0,36.0,2.0,32.0,1988.47
-118.0,-96.0,8.0,-13.0,8.0,-15.0,5.0,-17.0,1988.48
-98.0,-32.0,9.0,3.0,-15.0,3.0,-19.0,4.0,1988.48
98.0,32.0,6.0,-10.0,-4.0,-18.0,1.0,-12.0,1988.51
98.0,32.0,6.0,-2.0,4.0,-8.0,0.0,-7.0,1988.52
-20.0,-63.0,30.0,-9.0,2.0,4.0,-10.0,-3.0,1988.52
98.0,32.0,6.0,-5.0,10.0,-4.0,-1.0,-10.0,1988.54
30.0,-32.0,1.0,-15.0,25.0,-14.0,26.0,-15.0,1988.55
94.0,-32.0,5.0,-12.0,0.0,-17.0,4.0,-16.0,1988.56
98.0,32.0,6.0,0.0,14.0,1.0,14.0,1.0,1988.56
80.0,0.0,5.0,-12.0,-3.0,-19.0,-2.0,-19.0,1988.57
-40.0,-127.0,29.0,-4.0,-12.0,-6.0,-11.0,-4.0,1988.57
-20.0,-63.0,30.0,14.0,4.0,14.0,5.0,13.0,1988.58
94.0,-32.0,5.0,1.0,-17.0,0.0,-15.0,2.0,1988.58
-126.0,32.0,8.0,-11.0,-8.0,-14.0,-10.0,-15.0,1988.59
-126.0,32.0,8.0,11.0,-12.0,10.0,-9.0,14.0,1988.6
-2.0,-32.0,15.0,4.0,11.0,8.0,13.0,11.0,1988.6
98.0,32.0,6.0,6.0,-14.0,3.0,-13.0,9.0,1988.61
30.0,-32.0,1.0,27.0,15.0,26.0,15.0,25.0,1988.61
30.0,-32.0,1.0,15.0,26.0,15.0,25.0,14.0,1988.63
-98.0,-32.0,9.0,4.0,-23.0,-2.0,-13.0,3.0,1988.66
-98.0,-32.0,9.0,3.0,-6.0,2.0,-7.0,7.0,1988.66
98.0,32.0,6.0,9.0,5.0,4.0,-1.0,10.0,1988.67
98.0,32.0,6.0,5.0,-8.0,1.0,-9.0,4.0,1988.68
98.0,32.0,6.0,7.0,-7.0,-2.0,-8.0,-1.0,1988.68
98.0,32.0,6.0,-6.0,-9.0,-6.0,-6.0,-11.0,1988.7
30.0,-32.0,1.0,28.0,0.0,27.0,0.0,26.0,1988.71
98.0,32.0,6.0,-1.0,2.0,2.0,-12.0,-13.0,1988.71
-98.0,-32.0,9.0,-9.0,-4.0,-9.0,0.0,-6.0,1988.72
94.0,-32.0,5.0,5.0,-4.0,6.0,4.0,-8.0,1988.72
-98.0,-32.0,9.0,-1.0,3.0,5.0,-9.0,-2.0,1988.73
-34.0,-32.0,13.0,-8.0,6.0,-2.0,8.0,-6.0,1988.73
-98.0,-32.0,9.0,-1.0,-2.0,-11.0,6.0,-1.0,1988.74
30.0,-32.0,1.0,28.0,13.0,27.0,12.0,26.0,1988.74
30.0,-32.0,1.0,-12.0,24.0,-12.0,23.0,-12.0,1988.76
30.0,-32.0,1.0,13.0,-24.0,13.0,-23.0,12.0,1988.76
30.0,-32.0,1.0,18.0,19.0,17.0,19.0,17.0,1988.77
30.0,-32.0,1.0,-28.0,-5.0,-27.0,-4.0,-27.0,1988.78
30.0,-32.0,1.0,-28.0,3.0,-26.0,4.0,-27.0,1988.78
30.0,-32.0,1.0,26.0,3.0,26.0,3.0,26.0,1988.79
30.0,-32.0,1.0,27.0,-2.0,26.0,-2.0,26.0,1988.79
94.0,-32.0,5.0,-10.0,13.0,-11.0,16.0,-14.0,1988.8
-98.0,-32.0,9.0,11.0,8.0,11.0,13.0,9.0,1988.8
94.0,-32.0,5.0,-8.0,5.0,-8.0,12.0,-14.0,1988.81
30.0,-32.0,1.0,-28.0,-8.0,-25.0,-8.0,-27.0,1988.81
30.0,-32.0,1.0,-28.0,14.0,-27.0,14.0,-26.0,1988.82
-126.0,32.0,8.0,0.0,-6.0,-15.0,-10.0,9.0,1988.82
30.0,-32.0,1.0,28.0,14.0,27.0,13.0,26.0,1988.84
-126.0,32.0,8.0,-15.0,5.0,-10.0,11.0,-8.0,1988.86
-128.0,0.0,8.0,-12.0,-10.0,-7.0,-15.0,-5.0,1988.87
-66.0,-32.0,11.0,-16.0,6.0,-20.0,2.0,-20.0,1988.87
-46.0,32.0,13.0,2.0,-15.0,-2.0,-18.0,2.0,1988.88
120.0,-128.0,7.0,-14.0,5.0,-8.0,11.0,-12.0,1988.89
124.0,-64.0,7.0,-8.0,8.0,-15.0,15.0,-10.0,1988.89
124.0,-64.0,7.0,-9.0,-6.0,-11.0,-6.0,-15.0,1988.9
124.0,-64.0,7.0,9.0,-15.0,-5.0,-15.0,0.0,1988.9
124.0,-64.0,7.0,12.0,-1.0,10.0,4.0,18.0,1988.91
