subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,timestamp
-105.0,112.0,9.0,4.0,11.0,4.0,-1.0,-3.0,1415.32
124.0,-64.0,7.0,23.0,14.0,17.0,5.0,4.0,1415.32
100.0,65.0,22.0,-17.0,-12.0,-14.0,-7.0,-12.0,1415.33
120.0,-127.0,23.0,21.0,6.0,11.0,10.0,9.0,1415.33
86.0,96.0,5.0,8.0,20.0,-11.0,-5.0,18.0,1415.34
124.0,-64.0,7.0,-24.0,-1.0,-22.0,-19.0,-8.0,1415.34
-128.0,0.0,8.0,3.0,-13.0,6.0,13.0,-15.0,1415.35
94.0,-32.0,5.0,-15.0,-19.0,-8.0,-10.0,-17.0,1415.35
-98.0,-32.0,9.0,2.0,-4.0,-1.0,-5.0,10.0,1415.36
98.0,32.0,6.0,-5.0,-5.0,-8.0,-7.0,13.0,1415.36
-58.0,97.0,28.0,4.0,-12.0,8.0,3.0,-3.0,1415.38
-125.0,48.0,8.0,0.0,-7.0,-1.0,-5.0,-12.0,1415.4
-105.0,112.0,9.0,6.0,-2.0,8.0,6.0,-4.0,1415.4
-98.0,-32.0,9.0,-6.0,4.0,3.0,4.0,9.0,1415.41
124.0,-64.0,7.0,-5.0,-3.0,-2.0,-10.0,6.0,1415.41
-98.0,-32.0,9.0,6.0,-9.0,2.0,9.0,-11.0,1415.42
94.0,-32.0,5.0,8.0,0.0,6.0,8.0,-4.0,1415.42
122.0,-95.0,23.0,6.0,-6.0,2.0,5.0,-12.0,1415.43
-58.0,97.0,28.0,6.0,0.0,9.0,11.0,-4.0,1415.44
-38.0,-95.0,29.0,-4.0,4.0,-3.0,-1.0,8.0,1415.44
95.0,-15.0,21.0,20.0,2.0,30.0,21.0,-7.0,1415.45
98.0,32.0,6.0,14.0,4.0,5.0,23.0,-7.0,1415.47
98.0,32.0,6.0,6.0,0.0,6.0,-1.0,-7.0,1415.49
98.0,32.0,6.0,2.0,0.0,0.0,0.0,-14.0,1415.5
75.0,-79.0,20.0,-1.0,-3.0,-1.0,-7.0,1.0,1415.5
95.0,-15.0,21.0,-2.0,1.0,-3.0,-6.0,3.0,1415.51
94.0,-32.0,5.0,4.0,-1.0,4.0,0.0,-10.0,1415.51
94.0,-32.0,5.0,1.0,-5.0,0.0,-3.0,4.0,1415.52
-68.0,-64.0,11.0,-8.0,5.0,-3.0,-8.0,9.0,1415.52
-88.0,-128.0,10.0,0.0,2.0,3.0,4.0,-1.0,1415.53
80.0,0.0,5.0,3.0,-6.0,0.0,-7.0,-6.0,1415.53
-75.0,80.0,11.0,2.0,-9.0,1.0,1.0,-8.0,1415.54
98.0,32.0,6.0,-8.0,2.0,-5.0,-7.0,9.0,1415.54
98.0,32.0,6.0,-1.0,-7.0,2.0,2.0,-7.0,1415.55
120.0,-128.0,7.0,9.0,0.0,3.0,10.0,-7.0,1415.56
-115.0,-48.0,8.0,5.0,3.0,13.0,-7.0,2.0,1415.56
-95.0,16.0,10.0,-2.0,12.0,-3.0,7.0,1.0,1415.57
-99.0,-48.0,9.0,-2.0,-9.0,-8.0,-9.0,-12.0,1415.57
-30.0,32.0,14.0,0.0,-17.0,-7.0,-20.0,4.0,1415.58
124.0,-64.0,7.0,-26.0,4.0,-26.0,-21.0,-11.0,1415.58
124.0,-64.0,7.0,8.0,-19.0,9.0,7.0,-12.0,1415.59
94.0,-32.0,5.0,0.0,14.0,-12.0,-10.0,8.0,1415.59
124.0,-64.0,7.0,-12.0,1.0,-7.0,-12.0,-2.0,1415.6
124.0,-64.0,7.0,-10.0,-3.0,3.0,-10.0,5.0,1415.6
-45.0,49.0,29.0,16.0,-6.0,11.0,19.0,0.0,1415.61
127.0,-15.0,23.0,-13.0,19.0,-18.0,-13.0,18.0,1415.62
127.0,-15.0,23.0,1.0,-3.0,-8.0,0.0,10.0,1415.62
-109.0,49.0,25.0,12.0,-4.0,7.0,1.0,-11.0,1415.63
-128.0,0.0,8.0,22.0,-22.0,16.0,9.0,-4.0,1415.63
-125.0,51.0,56.0,3.0,-7.0,3.0,-4.0,0.0,1415.64
-105.0,115.0,57.0,6.0,-7.0,7.0,3.0,-3.0,1415.64
120.0,-128.0,7.0,2.0,-4.0,-3.0,-5.0,0.0,1415.65
-45.0,49.0,29.0,-3.0,-5.0,-2.0,2.0,0.0,1415.65
-34.0,-32.0,13.0,7.0,-14.0,0.0,1.0,-13.0,1415.66
-102.0,-96.0,9.0,17.0,4.0,22.0,2.0,7.0,1415.66
94.0,-32.0,5.0,-24.0,-6.0,-21.0,-28.0,-9.0,1415.77
-128.0,0.0,8.0,-17.0,4.0,-18.0,-16.0,9.0,1415.77
-128.0,0.0,8.0,-9.0,4.0,-4.0,-3.0,5.0,1415.81
-91.0,80.0,10.0,-8.0,5.0,-5.0,-1.0,4.0,1415.81
-34.0,-30.0,45.0,0.0,-10.0,3.0,0.0,-12.0,1415.82
98.0,32.0,6.0,9.0,-6.0,3.0,1.0,-7.0,1415.82
-108.0,64.0,9.0,5.0,0.0,-2.0,6.0,-4.0,1415.83
124.0,-64.0,7.0,7.0,-7.0,0.0,0.0,-2.0,1415.83
